"degreeCutoff","p","lambda","meanLS","medianLS","R","G","GompAIC","WeibAIC"
NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.7,0.0133333333333333,12.7463304583548,11.8220087427335,0.0347772503480349,0.0771361086836527,13506.3428766766,13580.3964925635
4,0.8,0.0133333333333333,20.1827832475284,20.2789810078684,0.0121552376869639,0.088163383016628,14526.4506498743,14539.7076195124
4,0.9,0.0133333333333333,28.7333014403174,29.1915367415641,0.00382525148753666,0.0992089497746657,14866.1222618581,14790.7137215983
4,1,0.0133333333333333,36.3588508132814,36.5158814121969,0.00133580917167554,0.107784232049501,14801.2291979381,14616.2415228235
4,0.7,0.01,16.7507373510452,15.9452714957297,0.0256252293252439,0.0606922988573068,14591.1561690513,14751.6538772986
4,0.8,0.01,27.1537139903993,26.9372711656615,0.00850317963639465,0.0684206596618798,15641.7753889614,15685.1913652437
4,0.9,0.01,38.6688897972693,39.0896534325546,0.00239041482559326,0.079749494965832,15813.8590897649,15698.6192396788
4,1,0.01,48.8651499996506,48.7738464027643,0.00112872333441974,0.0772237017829389,16056.4811414484,15790.5980963255
4,0.7,0.008,21.5185935635451,20.2150315863971,0.0211169023993571,0.0440902467018966,15639.2997929949,15720.4480978802
4,0.8,0.008,34.3329831955715,34.0594880326581,0.00645560033702811,0.055607756016297,16538.5083775244,16638.9958308808
4,0.9,0.008,48.148307408315,48.2132700271904,0.00214675435390938,0.0610113410922559,16828.8214422308,16699.927015949
4,1,0.008,60.6694632365861,61.0510230542056,0.000941489010123491,0.06131855633441,16995.5356439535,16773.4288815589
4,0.7,0.00666666666666667,25.603751268378,24.2870540397047,0.0166724885202155,0.0402063408945532,16262.6916971945,16379.9970392648
4,0.8,0.00666666666666667,40.6217712472666,40.7607014492518,0.00562486687380267,0.0460600845564856,17242.063117107,17273.351951926
4,0.9,0.00666666666666667,57.5439402106212,57.6160876080394,0.00181499415339973,0.0508361017695639,17549.4537822875,17395.862758369
4,1,0.00666666666666667,73.4259871556259,74.0467273397371,0.000741273330202168,0.051591489825861,17679.9403416514,17428.3051436095
4,0.7,0.00571428571428571,29.0197461155413,26.8531138518367,0.0150899417818552,0.0343646295903236,16789.808650972,16875.171809638
4,0.8,0.00571428571428571,47.5323504561875,47.5321870719242,0.00483682525898876,0.039327625964179,17852.6488729795,17879.7454026319
4,0.9,0.00571428571428571,66.9071551205566,67.4071918940172,0.00172922056035057,0.041816878637523,18253.5469199944,18143.5845880243
4,1,0.00571428571428571,86.2737896392881,86.2836392014287,0.000546368218697682,0.0459019502730454,18212.3309648365,17998.5290482615
4,0.7,0.005,32.9818858279218,31.8272039188712,0.0128276709241026,0.0315165360449792,17269.7213404218,17422.0324106347
4,0.8,0.005,54.6854632268283,54.4170087999304,0.00446702330319936,0.0325837206659126,18520.6941687911,18605.95790077
4,0.9,0.005,76.8202683412328,77.5039761792868,0.00143192924127906,0.0372081320728742,18765.5756281936,18635.268931903
4,1,0.005,97.6916010401378,98.5037178732455,0.000499934606259477,0.0400934622763915,18740.9527302364,18537.1250340595
